Type,Date,Category,Amount,Note
Income,10-03-2023,Other,581520,Gift from inlaws
Expense,10-03-2023,Household,406773,Sony WI-C100 earphones wireless
Expense,10-03-2023,Food,30239,M D sure 2kg atta
Expense,10-03-2023,Household,47975,Harpik 1L
Expense,09-03-2023,Food,5815,2 cutting chai
Expense,09-03-2023,Transportation,5815,Place 0 to Place 4 return
Expense,08-03-2023,Household,29076,5 litres can Distilled water
Expense,08-03-2023,Household,11049,Idli pith 1kg
Expense,08-03-2023,Food,5815,2 cups
Expense,08-03-2023,Subscription,235516,
Expense,08-03-2023,Food,20062,1 lit 
Expense,06-03-2023,Household,37799,Nandadip oil bottle
Expense,06-03-2023,Food,20353,Catering Service
Expense,06-03-2023,Household,78505,Cockroach injection
Expense,05-03-2023,Food,198008,Wok express + Domino's
Expense,05-03-2023,Transportation,290760,Two Wheeler Bikedelux booking amount
Expense,05-03-2023,Food,11630,6 eggs
Expense,05-03-2023,Food,20062,1 lit 
Expense,04-03-2023,Household,331466,Supermart
Expense,04-03-2023,Health,45940,Refresh Tears Drop
Expense,03-03-2023,Subscription,140146,Amazon pay cashback 1017 + Rs.482
Expense,03-03-2023,Food,4361,Raspberry dolly
Expense,03-03-2023,Household,174165,Logitech mouse
Expense,03-03-2023,Food,20062,1 lit 
Income,02-03-2023,Interest,172711,interest paid
Expense,02-03-2023,Food,8723,Flatbread 24 pcs
Income,02-03-2023,Salary,18789783,From workplace 
Expense,01-03-2023,Food,7269,Dudhi 20 + mirchi 5
Expense,28-02-2023,Food,8723,3 pavwada
Expense,28-02-2023,Household,52918,
Expense,28-02-2023,Food,1454,
Expense,28-02-2023,Subscription,52628,Data booster pack
Expense,27-02-2023,Food,2908,Ginger
Expense,26-02-2023,Food,20353,Tata salt 28+ 6 eggs 42
Expense,25-02-2023,Subscription,508539,ET Prime (1+1) till 24 Dec
Expense,24-02-2023,Subscription,52628,Data booster pack
Expense,24-02-2023,Transportation,23261,Place 2 station to Permanent Residence
Expense,24-02-2023,Subscription,45359,Permanent Residence - Tata Play recharge
Expense,23-02-2023,Food,7269,Gupta bhel
Expense,23-02-2023,Transportation,8723,2 Current Residence to Place 0
Expense,23-02-2023,Food,10177,Half lit  milk
Expense,23-02-2023,Household,29076,Toothbrush (buy 2 get 1)
Expense,21-02-2023,Food,110489,Home Food Delivery
Expense,20-02-2023,Household,34310,Surti kolam 2kg (54rsx2)+Monaco biscuits
Expense,20-02-2023,Food,4361,Vadapav
Expense,20-02-2023,Food,20353,milk 1lit 
Expense,20-02-2023,Food,18899,Catering Service
Expense,19-02-2023,Food,27622,Catering Service
Expense,19-02-2023,Subscription,8257584,Renewal
Expense,18-02-2023,Transportation,2908,Place 0 to WS return
Expense,18-02-2023,Food,20062,milk 1lit 
Expense,18-02-2023,Food,13084,Chicken Frankie
Expense,16-02-2023,Food,146834,At restaurant
Expense,16-02-2023,Transportation,8723,within city
Expense,16-02-2023,Household,255287,Dmart
Expense,16-02-2023,Food,5815,2 cutting chai
Expense,16-02-2023,Transportation,4361,Current Residence to Place 0
Expense,16-02-2023,Transportation,7269,college to inorbit
Expense,16-02-2023,Transportation,5815,Place 0 to Place 4 return
Expense,15-02-2023,Food,20062,milk 1lit 
Expense,14-02-2023,Other,2908,Nosebud
Expense,14-02-2023,Food,4361,chocobar
Expense,13-02-2023,Food,42160,Paneer + 1 kg onion
Expense,12-02-2023,Food,20062,milk 1lit 
Expense,11-02-2023,Food,23261,Catering Service
Expense,11-02-2023,Food,11630,6 eggs
Expense,11-02-2023,Food,29076,Double chicken shwarma
Expense,09-02-2023,Food,18899,Catering Service
Expense,09-02-2023,Food,7269,Gupta bhel
Expense,09-02-2023,Food,90136,
Expense,09-02-2023,Food,26168,
Expense,08-02-2023,Food,24715,Catering Service
Expense,07-02-2023,Food,118630,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150
Expense,06-02-2023,Food,20062,milk 1lit 
Expense,05-02-2023,Food,36345,Catering Service
Expense,04-02-2023,Subscription,29076,Current Residence - Tata Play recharge
Expense,04-02-2023,Subscription,785052,
Expense,03-02-2023,Food,20062,milk 1lit 
Expense,03-02-2023,Household,272442,Smart point
Expense,03-02-2023,Household,287852,Supermart
Expense,03-02-2023,Food,34891,
Expense,03-02-2023,Food,10177,
Expense,03-02-2023,Subscription,31984,
Expense,03-02-2023,Food,14538,Amul butter
Expense,02-02-2023,Food,8723,Shev Puri
Expense,02-02-2023,Food,84320,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100
Expense,02-02-2023,Other,5815,2 kg soil
Expense,01-02-2023,Food,10177,chocobar
Expense,01-02-2023,Food,20062,milk 1lit 
Expense,31-01-2023,Food,36345,Catering Service ( 5 methi paranthe)
Expense,31-01-2023,Food,20062,1 lit 
Expense,30-01-2023,Health,6397,5 Meftal spas
Expense,30-01-2023,Health,232608,Glasses remaining
Expense,30-01-2023,Health,6600252,Family's Glasses
Income,30-01-2023,Salary,18793563,From workplace 
Expense,28-01-2023,Food,26168,Sweet bread cake pav kg
Expense,28-01-2023,Food,12212,6 eggs
Expense,28-01-2023,Food,5234,
Expense,28-01-2023,Household,33437,Toast+ biscuits
Expense,28-01-2023,Food,40706,
Expense,28-01-2023,Food,20062,1 lit 
Expense,27-01-2023,Health,290760,Glasses advance
Expense,27-01-2023,Transportation,8723,2 Place 0 to Current Residence
Expense,27-01-2023,Transportation,8723,Place 6 station to  mall
Expense,27-01-2023,Transportation,1454,1 Place 0 to Place 6
Expense,26-01-2023,Transportation,11630,Place 6 station to eye institute
Expense,26-01-2023,Health,46231,eye drop
Expense,26-01-2023,Transportation,2908,1 Place 0 to Place 6 return
Expense,26-01-2023,Health,116304,Routine checkup - eye institute
Expense,26-01-2023,Transportation,11630,eye institute to Place 6 station
Expense,25-01-2023,Subscription,45359,Permanent Residence - Tata Play recharge
Expense,25-01-2023,Food,20062,1 lit 
Expense,25-01-2023,Food,2908,Half kg tomato
Expense,23-01-2023,Food,6687,Flatbread 8 pcs
Expense,23-01-2023,Food,4943,Dahi + remaining balance
Expense,23-01-2023,Food,6106,3 kg Bajari
Expense,23-01-2023,Food,20062,1 lit 
Expense,20-01-2023,Food,20353,milk 1lit 
Expense,19-01-2023,Food,5815,1 Panipuri
Expense,19-01-2023,Transportation,8723,2 Place 0 to Current Residence
Expense,19-01-2023,Transportation,5815,2 Place 0 to Place 6 return
Expense,19-01-2023,Transportation,8723,2 Current Residence to Place 0
Expense,18-01-2023,Household,70364,Khobra + shengdana+ vim bar
Expense,18-01-2023,Food,11340,6 eggs
Expense,18-01-2023,Subscription,42742,
Expense,18-01-2023,Food,30239,1.5 lit milk 
Expense,17-01-2023,Food,30530,Vanila family pack
Expense,17-01-2023,Household,23261,Agarbatti 55 + dahi 25
Expense,17-01-2023,Food,8141,4 kg Gehu
Expense,16-01-2023,Food,20353,1 lit 
Expense,15-01-2023,Food,152358,Home Food Delivery
Expense,15-01-2023,Household,60769,Toast 55 + Kisan Jam 85 + all out 75
Expense,15-01-2023,Education,13084,Photo paper print
Expense,15-01-2023,Food,7269,brown bread
Expense,15-01-2023,Household,27622,Amul butter 52 + Good Day biscuits 43
Expense,14-01-2023,Food,36345,
Expense,14-01-2023,Food,46522,vegetables
Expense,13-01-2023,Household,52337,Pani Puri packet + Bundi + chivda
Expense,13-01-2023,Food,20353,milk 1lit varna
Expense,13-01-2023,Food,14538,onion 1 kg + half kg potato
Expense,13-01-2023,Household,77924,Maggie + lizol
Expense,13-01-2023,Food,17446,Shev bhaji sev pav kg
Expense,12-01-2023,Household,34891,Screwdriver 2
Expense,12-01-2023,Food,443409,At restaurant
Expense,12-01-2023,Food,3489,
Expense,12-01-2023,Household,37799,USB cord
Expense,12-01-2023,Transportation,8723,Place 4 station to Place P return
Expense,12-01-2023,Other,1072904,Shopping at Alfa
Expense,12-01-2023,Transportation,9886,Place P station to Alfa market
Expense,12-01-2023,Transportation,8723,2 Place 0 to Current Residence
Expense,12-01-2023,Transportation,11630,Place 0 to Place P return
Expense,11-01-2023,Food,11340,6 eggs
Expense,11-01-2023,Food,7560,Half lit  milk
Expense,09-01-2023,Household,5815,Colgate max fresh small
Expense,09-01-2023,Household,19481,
Expense,09-01-2023,Health,29076,Acne Star cream
Expense,09-01-2023,Food,11630,Bhendi bhaji
Expense,09-01-2023,Food,20353,1 lit 
Expense,08-01-2023,Household,156720,
Expense,08-01-2023,Food,37799,1 kg apple
Expense,07-01-2023,Food,20353,1 lit 
Expense,06-01-2023,Food,11340,6 eggs
Expense,05-01-2023,Transportation,4361,Place 0 to Current Residence
Expense,05-01-2023,Subscription,58152,Current Residence - Tata Play recharge
Expense,03-01-2023,Subscription,785052,
Expense,02-01-2023,Food,5815,2 pavwada
Expense,02-01-2023,Other,37799,Dambar goli 2 packets ( Naphthalene balls)
Expense,01-01-2023,Subscription,86065,Mobile Service Provider freedom pack
Income,01-01-2023,Salary,22765926,From workplace 
